RuleID,Detection,Category,Technique,Confidence,KeywordRegex,PathRegex,IgnoreRegex,Reference,Criticality,Scope,EntryType,Source,SourceID
DR-MFT-RMM-018,RMM - Barracuda,Remote Access Software,,Unreviewed,^BarracudaRMM$|^Barracuda Workplace$|^Barracuda MSP$,.,,Barracuda - barracudamsp.com,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-035,RMM - Cruz,Remote Access Software,,Unreviewed,^CruzRMM$,.,,Cruz - resources.doradosoftware.com/cruz-rmm,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-047,RMM -  Electric AI (Kaseya),Remote Access Software,,Unreviewed,^ElectricAi$,.,,Electric - electric.ai,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-049,RMM - Encapto,Remote Access Software,,Unreviewed,^Encapto$,.,,Encapto - encapto.com,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-058,RMM - Fortra,Remote Access Software,,Unreviewed,^Fortra$,.,,Fortra - fortra.com,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-065,RMM - GoToMeeting,Remote Access Software,,Unreviewed,^GoToAssist(Service|Unattended)\.exe$,.,,GoToMeeting -goto.com/meeting,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-083,RMM - JWrapper Remote,Remote Access Software,,Unreviewed,"^(https?([0-9]{1,3}.[0-9]{1,3}.[0-9]{1,3}.[0-9]{1,3}[0-9]{1,5})|serviceconfig.xml)$",.,,JWrapper Remote - Infield - actor use,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-099,RMM - Microsoft Quick Assist Unusual Path,Remote Access Software,T1219.002,High,^quickassist\.exe$,.,,Microsoft Quick Assist outside trusted Windows component paths,Medium,MFT,File,DetectRaptor Curated,
DR-MFT-RMM-141,RMM - RealONE,Remote Access Software,,Unreviewed,^RealONE$,.,,RealONE - https://www.realvnc.com/en/discover/realone/,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-143,RMM - RealVNC Product Directory,Remote Access Software,,Unreviewed,^RealVNC$,.,,RealVNC - https://www.realvnc.com/en/,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-160,RMM - Rsocx,Remote Access Software,,Unreviewed,^rsocx\.exe$,.,,Rsocx - https://github.com/b23r0/rsocx,Medium,Both,File,DetectRaptor Curated,
DR-MFT-RMM-162,RMM - RunSmart,Remote Access Software,,Unreviewed,^RunSmart$,.,,RunSmart - runsmart.io,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-193,RMM - TechInline,Remote Access Software,,Unreviewed,^TechInline$|^fixme.it$,.,,TechInline - techinline.com/,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-207,RMM - XMReality,Remote Access Software,,Unreviewed,^XMReality$,.,,XMReality - xmreality.com/,Medium,MFT,Directory,DetectRaptor Curated,
DR-MFT-RMM-216,RMM - VNC Product Directory,Remote Access Software,,Unreviewed,^(TigerVNC|JollyFastVNC|realvnc|tightvnc|ultravnc|VNC connect)$,.,,VNC,Medium,MFT,Directory,DetectRaptor Curated,
